,BBC_compound,CBS_compound,CNN_compound,FOX_compound,NYT_compound,Tweets_ago
0,-0.3,0.0,0.0,0.0,0.7,100
1,0.0,0.8,-0.1,-0.2,-0.8,99
2,0.5,0.6,0.7,0.7,-0.4,98
3,-0.1,0.2,0.1,0.7,-0.8,97
4,0.0,0.4,-0.7,-0.6,0.9,96
5,0.5,0.5,0.0,0.0,0.0,95
6,0.6,0.4,0.0,-0.2,-0.9,94
7,0.4,0.0,0.1,0.0,-0.1,93
8,-0.4,0.0,0.0,0.4,0.4,92
9,0.0,0.9,-0.3,-0.1,-0.6,91
10,0.2,0.4,-0.5,-0.5,0.0,90
11,0.0,-0.3,0.0,0.2,-0.3,89
12,-0.6,0.2,0.0,0.0,0.0,88
13,0.5,-0.6,0.0,0.8,-0.8,87
14,-0.7,0.5,0.0,0.8,-0.3,86
15,0.4,-0.3,-0.3,0.8,0.8,85
16,0.0,0.0,0.4,0.6,0.0,84
17,-0.4,0.0,0.2,0.5,0.0,83
18,0.0,0.5,-0.3,-0.7,0.0,82
19,0.0,0.8,0.0,0.6,0.4,81
20,0.0,0.9,0.3,0.0,0.0,80
21,-0.5,0.4,-0.5,0.0,0.4,79
22,0.9,0.4,-0.5,0.4,0.0,78
23,0.0,0.8,-0.2,-0.2,0.7,77
24,0.0,0.0,-0.5,0.6,0.5,76
25,0.6,0.6,0.0,0.3,-0.8,75
26,0.0,0.8,-0.4,-0.3,-0.7,74
27,0.5,1.0,0.0,0.4,0.0,73
28,0.5,0.6,0.4,0.0,0.7,72
29,0.0,0.4,-0.2,0.8,0.3,71
30,0.0,0.9,-0.7,0.2,0.0,70
31,0.3,0.0,0.0,0.0,-0.7,69
32,0.0,0.0,0.0,0.8,0.0,68
33,0.0,0.9,0.0,0.5,-0.1,67
34,0.0,0.0,-0.5,0.4,-0.6,66
35,0.0,0.5,0.4,0.8,-0.4,65
36,0.8,0.5,0.6,0.0,0.3,64
37,0.6,0.8,-0.3,-0.7,-0.6,63
38,0.0,0.6,0.3,0.9,0.6,62
39,0.5,0.0,-0.8,0.7,-0.7,61
40,0.0,0.6,0.4,0.6,0.3,60
41,0.0,0.9,-0.3,0.0,0.6,59
42,-0.3,0.0,0.0,0.6,0.0,58
43,-0.8,0.7,0.1,0.1,0.0,57
44,0.6,0.0,0.6,0.1,0.0,56
45,0.6,0.0,-0.0,0.6,0.3,55
46,0.0,0.4,0.2,0.6,0.0,54
47,0.3,0.9,0.5,0.5,-0.1,53
48,-0.6,0.6,-0.8,0.0,-0.5,52
49,0.3,0.2,0.0,0.0,0.0,51
50,0.5,0.2,-0.6,0.8,-0.1,50
51,0.6,0.9,-0.7,0.8,0.2,49
52,0.6,0.0,-0.6,0.0,0.7,48
53,0.3,0.3,-0.3,0.7,-0.8,47
54,0.0,0.0,0.1,0.4,-0.8,46
55,-0.4,0.9,0.0,0.0,0.0,45
56,0.0,0.9,-0.6,0.3,-0.8,44
57,-0.6,0.0,0.0,0.9,0.0,43
58,0.0,0.2,0.0,0.0,0.1,42
59,-0.6,0.5,0.5,0.6,0.2,41
60,0.6,0.0,0.1,-0.2,-0.4,40
61,-0.5,0.4,0.6,0.0,-0.7,39
62,0.7,0.9,0.0,0.7,0.5,38
63,0.0,0.0,0.0,0.5,-0.2,37
64,0.0,0.0,-0.5,0.6,0.0,36
65,0.6,0.6,0.0,0.0,0.7,35
66,0.0,0.0,-0.5,0.8,0.0,34
67,-0.4,0.6,0.8,-0.5,0.0,33
68,0.0,0.9,0.0,0.0,0.4,32
69,0.8,0.7,0.0,0.6,0.4,31
70,0.3,0.3,0.0,0.6,0.0,30
71,0.4,0.0,0.2,0.0,0.0,29
72,0.6,0.4,0.0,0.0,0.0,28
73,0.3,0.0,0.0,0.6,0.0,27
74,0.0,0.4,0.4,0.8,0.6,26
75,0.0,0.7,-0.1,-0.2,-0.5,25
76,0.3,0.0,0.3,0.0,-0.2,24
77,0.0,0.3,0.5,0.7,-0.3,23
78,0.0,0.0,0.0,0.7,0.6,22
79,0.6,0.9,-0.6,-0.9,0.6,21
80,0.7,0.4,-0.4,0.6,-0.5,20
81,0.4,0.3,-0.8,0.6,0.4,19
82,0.0,0.4,-0.3,-0.3,0.0,18
83,0.0,-0.4,0.0,0.0,-0.8,17
84,0.0,0.5,-0.2,0.5,-0.5,16
85,0.0,0.5,0.0,0.5,0.6,15
86,0.0,0.0,0.6,-0.0,0.0,14
87,0.0,0.0,0.0,0.4,0.0,13
88,0.3,-0.4,-0.6,-0.2,-0.3,12
89,0.0,0.8,0.0,-0.5,0.2,11
90,0.6,0.9,-0.5,0.3,0.0,10
91,0.2,0.5,0.6,0.0,0.0,9
92,0.0,0.0,-0.2,0.0,0.5,8
93,0.8,0.0,0.8,-0.4,0.0,7
94,0.4,0.6,0.6,0.1,0.0,6
95,0.4,0.6,0.0,0.4,0.0,5
96,-0.3,0.1,0.2,0.7,0.0,4
97,0.0,0.0,0.0,-0.4,0.2,3
98,0.0,0.0,0.0,-0.6,0.6,2
99,0.0,0.3,0.0,0.9,0.0,1
