,Nearest City Names,Countries,Longitude (Degrees),Latitude (Degrees),Maximum Temperature (F),Humidity (%),Wind Speed (MPH),Cloudiness (%)
0,Carnarvon,AU,107.01,-21.88,72.22,100,18.37,0
1,Rikitea,PF,-115.6,-46.77,48.37,93,25.75,92
2,Touros,BR,-24.96,-0.47,77.53,100,9.98,92
3,Sola,VU,171.63,-10.07,82.57,100,15.57,92
4,Mataura,PF,-143.73,-60.26,25.6,100,19.71,24
5,Cidreira,BR,-18.52,-60.43,22.27,94,20.83,48
6,Petropavlovsk-Kamchatskiy,RU,164.38,45.39,46.03,92,24.07,56
7,Guliston,UZ,68.64,40.41,69.97,60,1.48,8
8,Hithadhoo,MV,81.0,-18.52,74.47,99,18.92,92
9,Rikitea,PF,-114.15,-12.89,74.65,100,21.05,92
10,Manokwari,ID,132.89,-1.52,71.86,98,2.48,92
11,Sentyabrskiy,RU,157.33,35.01,71.32,93,18.03,92
12,Atuona,PF,-134.71,-0.56,80.5,99,17.69,88
13,Cape Town,ZA,12.95,-41.59,55.3,100,49.01,48
14,Tasiilaq,GL,-32.3,63.83,46.57,95,21.72,92
15,Thompson,CA,-97.52,79.45,32.17,100,8.3,88
16,Hithadhoo,MV,75.41,-2.27,83.29,100,5.95,8
17,Geraldton,AU,114.55,-30.28,64.93,100,10.76,0
18,Cidreira,BR,-46.56,-32.1,69.43,90,29.55,68
19,East London,ZA,43.21,-49.54,35.95,100,17.81,76
20,Najran,SA,46.98,19.79,86.08,17,9.86,0
21,Saryshagan,KZ,71.54,45.71,70.6,33,5.39,0
22,Arraial Do Cabo,BR,-17.41,-52.91,32.62,100,30.78,64
23,Torbay,CA,-47.99,41.41,65.02,89,17.25,92
24,Qibili,TN,9.27,34.06,79.86,69,13.87,75
25,Komsomolskiy,RU,171.32,68.28,59.98,57,7.74,0
26,Ribeira Grande,PT,-28.32,33.98,73.48,100,6.96,0
27,Tazovskiy,RU,78.93,70.05,61.96,91,15.68,76
28,North Bend,US,-125.7,43.43,58.72,100,8.52,64
29,Kapaa,US,-176.85,22.42,78.52,100,9.64,56
30,Bambous Virieux,MU,63.37,-22.15,74.56,100,1.92,56
